
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
30:0D:43:14:D1:E0, 2016-12-16 12:03:27, 2016-12-16 12:08:46, -38,       20, 00:1A:1E:EF:6B:C0,
1C:99:4C:DF:24:95, 2016-12-16 12:02:22, 2016-12-16 12:08:47, -72,       11, (not associated) , eduroam
80:EA:96:09:0A:07, 2016-12-16 12:02:51, 2016-12-16 12:08:35, -70,        3, 00:0B:86:64:02:04, TIM-E5
A0:99:9B:17:13:43, 2016-12-16 12:07:57, 2016-12-16 12:08:24, -66,       35, (not associated) , NETGEAR_EXT,fastweb-2015,fastwebcasa,OspitiFlaminiaComputer,uniroma2-cp-NG,Telecom-56888770,PocketCube-D403,DAYTONA,HotelIgea,WebCube42-C192
74:23:44:55:2D:18, 2016-12-16 12:06:47, 2016-12-16 12:08:25, -72,      192, 00:0B:86:0C:60:A0, WiFimetropolitano,uniroma2-cp-NG
34:23:BA:4C:58:DA, 2016-12-16 12:06:36, 2016-12-16 12:08:15, -44,        8, 00:1A:1E:EF:6B:C0,
F8:A9:D0:1C:97:AB, 2016-12-16 12:02:55, 2016-12-16 12:08:15, -44,        4, (not associated) ,
8C:1A:BF:9D:EB:52, 2016-12-16 12:01:55, 2016-12-16 12:08:14, -46,        5, (not associated) ,
12:88:63:C2:A5:B4, 2016-12-16 12:07:33, 2016-12-16 12:08:07, -66,        5, (not associated) ,
F0:7B:CB:6E:C4:FE, 2016-12-16 12:07:55, 2016-12-16 12:07:55, -70,        1, (not associated) ,
6C:2F:2C:B9:13:4B, 2016-12-16 12:05:12, 2016-12-16 12:07:56, -70,        5, (not associated) ,
CC:FA:00:F6:55:05, 2016-12-16 12:02:26, 2016-12-16 12:07:35, -42,       27, (not associated) ,
F8:84:F2:0C:3C:C6, 2016-12-16 12:05:21, 2016-12-16 12:09:49, -82,        4, (not associated) ,
C0:63:94:79:E7:89, 2016-12-16 12:04:53, 2016-12-16 12:07:24, -56,        2, (not associated) ,
20:64:32:7A:17:6B, 2016-12-16 12:01:52, 2016-12-16 12:07:14, -62,      326, 00:1A:1E:F6:28:80,
EC:1F:72:AD:78:8B, 2016-12-16 12:06:54, 2016-12-16 12:07:15, -64,       11, 00:0B:86:0C:60:A0,
7A:FE:02:E8:23:7D, 2016-12-16 12:02:36, 2016-12-16 12:07:06, -58,        6, (not associated) , CampusX 2.0
F8:1E:DF:60:14:7B, 2016-12-16 12:06:44, 2016-12-16 12:06:44, -74,        1, (not associated) ,
FC:3F:7C:EF:BF:3C, 2016-12-16 12:02:18, 2016-12-16 12:06:38, -52,        3, (not associated) ,
2A:4D:F5:32:92:A9, 2016-12-16 12:06:27, 2016-12-16 12:06:27, -56,        1, (not associated) ,
F0:5B:7B:35:C4:F5, 2016-12-16 12:06:18, 2016-12-16 12:06:18, -52,        7, (not associated) , uniroma2-ccd
24:DF:6A:34:33:13, 2016-12-16 12:06:08, 2016-12-16 12:06:08, -64,        3, (not associated) , VodafoneWiFi
1C:B0:94:A4:6D:6E, 2016-12-16 12:02:01, 2016-12-16 12:05:58, -68,       52, 00:0B:86:64:02:02,
48:3C:0C:AA:5D:BB, 2016-12-16 12:05:13, 2016-12-16 12:05:24, -50,        7, (not associated) ,
B4:6D:83:DD:DB:E1, 2016-12-16 12:02:50, 2016-12-16 12:05:26, -52,        3, (not associated) , uniroma2-cp-NG
4E:B8:AD:39:F4:8D, 2016-12-16 12:05:28, 2016-12-16 12:05:28, -58,        1, (not associated) ,
96:2D:78:7C:08:B8, 2016-12-16 12:05:18, 2016-12-16 12:05:18, -52,        1, (not associated) ,
12:1D:4C:FC:99:67, 2016-12-16 12:05:14, 2016-12-16 12:05:14, -68,        1, (not associated) ,
80:01:84:B1:6A:34, 2016-12-16 12:05:16, 2016-12-16 12:05:16, -70,        1, (not associated) ,
A8:9F:BA:CA:C5:0C, 2016-12-16 12:03:55, 2016-12-16 12:05:04, -60,        5, (not associated) , uniroma2-cp-NG
